expiry_month,total_expiring_certs,total_releases,total_locations
Oct,5,6,13
Nov,0,0,0
Dec,1,0,1
Jan,0,0,0
Feb,0,0,0
Mar,1,1,2
Apr,0,0,0
May,0,0,0
Jun,0,0,0
Jul,0,0,0
Aug,1,1,2
Sep,0,0,0
